name,record,weight_class,nick_name
Danny Abbadi,2-2-0 (W-L-D),Lightweight,"""The Assassin"""
Nariman Abbassov,0-1-0 (W-L-D),Lightweight,
Tank Abbott,8-10-0 (W-L-D),Heavyweight,"""Tank"""
Hamdy Abdelwahab,6-1-0 (W-L-D),Heavyweight,"""The Hammer"""
Mansur Abdul-Malik,9-0-0 (W-L-D),Middleweight,
Shamil Abdurakhimov,20-8-0 (W-L-D),Heavyweight,"""Abrek"""
Daichi Abe,6-1-0 (W-L-D),Welterweight,
Papy Abedi,9-3-0 (W-L-D),Middleweight,"""Makambo"""
Klidson Abreu,15-4-0 (W-L-D),Light Heavyweight,"""White Bear"""
Ricardo Abreu,5-1-0 (W-L-D),Middleweight,"""Demente"""
John Adajar,0-1-0 (W-L-D),Welterweight,
N/A,N/A,N/A,N/A
Juan Adams,5-3-0 (W-L-D),Heavyweight,"""The Kraken"""
Scott Adams,6-0-0 (W-L-D),Heavyweight,
Anthony Adams,8-2-0 (W-L-D),Middleweight,
Zarrukh Adashev,4-4-0 (W-L-D),Flyweight,"""The Lion"""
Israel Adesanya,24-5-0 (W-L-D),Middleweight,"""The Last Stylebender"""
Sam Adkins,0-0-0 (W-L-D),Light Heavyweight,
Nick Agallar,12-3-0 (W-L-D),Lightweight,
Mariya Agapova,10-5-0 (W-L-D),Women's Flyweight,"""Money Mashka"""
Fabio Agu,0-0-0 (W-L-D),Middleweight,
Marcello Aguiar,0-0-0 (W-L-D),Welterweight,
Kevin Aguilar,17-5-0 (W-L-D),Featherweight,"""Angel of Death"""
Jessica Aguilar,20-8-0 (W-L-D),Women's Strawweight,"""Jag"""
Jesus Aguilar,11-3-0 (W-L-D),Flyweight,
Christian Aguilera,14-8-0 (W-L-D),Welterweight,"""The Beast"""
Nick Aguirre,7-2-0 (W-L-D),Bantamweight,"""Slick"""
Ashiek Ajim,0-1-0 (W-L-D),Bantamweight,
Omari Akhmedov,21-6-1 (W-L-D),Middleweight,"""Wolverine"""
Yoshihiro Akiyama,15-6-0 (W-L-D),Welterweight,"""Sexyama"""
Rostem Akman,0-2-0 (W-L-D),Welterweight,
Mostapha Al Turk,6-6-0 (W-L-D),Heavyweight,
Razak Al-Hassan,7-2-0 (W-L-D),Light Heavyweight,"""Razor"""
Ali Al-Qaisi,8-5-0 (W-L-D),Bantamweight,"""The Royal Fighter"""
